Age	Temperature
0	-1.23199878409076
0.002	-1.27983876399389
0.004	-1.24648301498437
0.006	-1.48994111638382
0.008	-1.61162796909711
0.01	-2.16275288492672
0.012	-2.11872569186628
0.014	-2.30916494967303
0.016	-2.30254321959547
0.018	-2.28677594254009
0.02	-2.25104961835447
0.022	-2.21080952181175
0.024	-2.20081833161809
0.026	-2.16194607093142
0.028	-2.16476460319461
0.03	-2.1825308810188
0.032	-2.12393191945163
0.034	-2.12608771833814
0.036	-2.08052335801671
0.038	-2.08972330831895
0.04	-2.09200282111406
0.042	-2.11435219047931
0.044	-2.05212796730639
0.046	-2.07447274947255
0.048	-2.07820281024643
0.05	-2.07820281024643
0.052	-2.07820281024643
0.054	-2.02903678970892
0.056	-2.07353692275009
0.058	-2.08283566461609
0.06	-2.14305132879619
0.062	-2.16956182446175
0.064	-2.15667207130396
0.066	-2.18058680016713
0.068	-2.09879249298588
0.07	-2.02903678970892
0.072	-1.97842561022276
0.074	-1.97842561022276
0.076	-1.88834503212387
0.078	-1.84590480637288
0.08	-1.788519071183
0.082	-1.80800572911573
0.084	-1.75320236207016
0.086	-1.80800572911573
0.088	-1.89248566209917
0.09	-2.05454029932456
0.092	-1.96875978198049
0.094	-1.87340446692689
0.096	-1.94185301007619
0.098	-1.87340446692689
0.1	-1.87038760915745
0.102	-1.79830756642053
0.104	-1.64913411167978
0.106	-1.72786368434215
0.108	-1.71393002129403
0.11	-1.81442122726607
0.112	-1.85638583936253
0.114	-1.96225104668306
0.116	-1.92892005965095
0.118	-1.88834503212387
0.12	-1.89248566209917
0.122	-1.64913411167978
0.124	-1.50891330763057
0.126	-1.41332926514586
0.128	-1.22422724016154
0.13	-1.42289792425665
0.132	-1.81888839449479
0.134	-2.22770338267164
0.136	-2.2706020549264
0.138	-2.26257257000961
0.14	-2.29370622694393
0.142	-2.24499396641158
0.144	-2.25931401875163
0.146	-2.16476460319461
0.148	-2.17549728862046
0.15	-2.19593227780431
0.152	-2.07820281024643
0.154	-2.21626949625681
0.156	-2.17154783219176
0.158	-2.10103948489548
0.16	-2.13165589185163
0.162	-2.11127174144082
0.164	-2.10994674600406
0.166	-2.08605908124094
0.168	-2.06077295350937
0.17	-2.04484021950624
0.172	-2.07353692275009
0.174	-2.08743562268435
0.176	-2.13165589185163
0.178	-2.06410550026602
0.18	-2.09879249298588
0.182	-2.11872569186628
0.184	-2.12176820927605
0.186	-2.12522634705642
0.188	-2.04484021950624
0.19	-1.80349113017381
0.192	-1.86127922475937
0.194	-1.68196369700149
0.196	-1.6834026543046
0.198	-1.5978572300545
0.2	-1.55409305616898
0.202	-1.50891330763057
0.204	-1.63426257354024
0.206	-1.6229945605282
0.208	-1.61162796909711
0.21	-1.58083130539711
0.212	-1.59631830318438
0.214	-1.61162796909711
0.216	-1.56674040312935
0.218	-1.51952901042505
0.22	-1.49491393563485
0.222	-1.57615044813496
0.224	-1.65282489119047
0.226	-1.98639181918677
0.228	-2.04337350608546
0.23	-2.05116067026553
0.232	-2.05933969081832
0.234	-1.91464002517507
0.236	-2.02503100871436
0.238	-1.86249869746946
0.24	-1.71393002129403
0.242	-1.85208374789437
0.244	-1.36011550960383
0.246	-1.85392983387858
0.248	-2.06410550026602
0.25	-1.9942779431
0.252	-2.1747097990116
